file_offset	len	kind	original_en	translation_zh	notes
0x00014CF0	19	UI	Ship's Beam Weapons		
0x00014D04	19	UI	Ship's Bolt Weapons		
0x00014D18	19	UI	Ship's Proj Weapons		
0x00014D4F	11	UI	Ship Repair		
0x00014D5B	11	UI	Item Repair		
0x00014D71	13	UI	Light Weapons		
0x00014D7F	13	UI	Heavy Weapons		
0x00014D8D	12	UI	Hand Weapons		
0x00014D9A	9	UI	First Aid		
0x00014DD7	12	UI	Heavy Metals		
0x00014DE4	12	UI	Inert Gasses		
0x00014DF1	11	UI	Soft Metals		
0x00014DFD	13	UI	Common Liquid		
0x00014E0B	13	UI	Hybrid Solids		
0x00014E19	12	UI	Alien Gasses		
0x00014E26	12	UI	Alien Metals		
0x00014E33	13	UI	Alien Isotope		
0x00014E41	13	UI	Alien Crystal		
0x00014E4F	13	UI	Alien Organic		
0x00014E5D	13	UI	Alien Liquids		
0x00014E6B	11	UI	Rare Elmnts		
0x00014E77	10	UI	New Elmnts		
0x00014E87	5	UI	 Rght		
0x00014E92	5	UI	 Left		
0x00014EA4	14	UI	Storage Yard A		
0x00014EB3	14	UI	Storage Yard B		
0x00014EC2	14	UI	Storage Yard C		
0x00014ED1	20	UI	Equipment Pickup Pad		
0x00014EE6	14	UI	Final Assembly		
0x00014EF5	18	UI	Remote Arm(Canada)		
0x00014F08	11	UI	Larger Part		
0x00014F14	12	UI	Smaller Part		
0x00014F21	14	UI	Next Part Type		
0x00014F30	18	UI	Previous Part Type		
0x00014F43	14	UI	Return to Base		
0x00014F52	10	UI	Place Part		
0x00014F5D	18	UI	Scrap Current Ship		
0x00014F70	10	UI	Mk1 Engine		
0x00014F7B	10	UI	Mk2 Engine		
0x00014F86	10	UI	Mk3 Engine		
0x00014F91	10	UI	Mk4 Engine		
0x00014F9C	10	UI	Mk5 Engine		
0x00014FA7	10	UI	Mk6 Engine		
0x00014FB2	10	UI	Mk7 Engine		
0x00014FEF	10	UI	X-Ray Beam		
0x00014FFA	10	UI	Mega Laser		
0x00015005	10	UI	Quark Beam		
0x00015010	9	UI	Grav Bolt		
0x0001501A	10	UI	Magna Bolt		
0x00015025	10	UI	Phase Bolt		
0x00015030	10	UI	Death Bolt		
0x00015042	10	UI	Mass Drivr		
0x0001504D	8	UI	Rail Gun		
0x00015056	8	UI	Rack Gun		
0x0001505F	7	UI	Orange 		
0x00015079	8	UI	Leopard 		
0x00015959	36	UI	Thank you for playing Planet's Edge.		
0x00015987	5	UI	%s.%s		
0x00015995	5	UI	%s.%s		
0x000159A3	5	UI	%s.%s		
0x000159B1	5	UI	%s.%s		
0x000159BF	5	UI	%s.%s		
0x000159CD	5	UI	%s.%s		
0x000159D3	14	UI	|/-\\No hash %s		
0x000159E2	10	UI	No hash %s		
0x00015A39	11	UI	%-19s: %-3d		
0x00015AC6	14	UI	Can't load lcp		
0x00015AD5	18	UI	Can't load tileset		
0x00015AE8	18	UI	Can't load tileset		
0x00015AFB	18	UI	Can't load tileset		
0x00015B0E	18	UI	Can't load tileset		
0x00015B21	18	UI	Can't load tileset		
0x00015B44	10	UI	Cargo (%d)		
0x00015BDC	12	UI	Top Speed:%d		
0x00015BE9	12	UI	Accel    :%d		
0x00015BF6	12	UI	Turn Mode:%d		
0x00015C03	15	UI	Nav Comp :%d-%d		
0x00015C13	15	UI	Tar Comp :%d-%d		
0x00015C23	12	UI	%-2d %10s %c		
0x00015C30	6	UI	%-2d c		
0x00015C40	5	UI	%-15s		
0x00015C46	6	UI	ts:%1d		
0x00015C4D	6	UI	tm:%1d		
0x00015C72	7	UI	No Ship		
0x00015C7A	11	UI	Pirate Ship		
0x00015C86	11	UI	Heavy Scout		
0x00015C92	13	UI	Light Cruiser		
0x00015CA0	11	UI	War Cruiser		
0x00015CAC	10	UI	Laser Boat		
0x00015CB7	15	UI	Assault Cruiser		
0x00015CC7	15	UI	Small Frieghter		
0x00015CD7	15	UI	Large Freighter		
0x00015CF0	15	UI	Armed Transport		
0x00015D00	18	UI	Priority Freighter		
0x00015D13	18	UI	Military Freighter		
0x00015D26	11	UI	Indy Runner		
0x00015D32	11	UI	Indy Runner		
0x00015D3E	16	UI	Orbital Platform		
0x00015D4F	16	UI	Defense Platform		
0x00015D60	15	UI	Orbital Station		
0x00015D70	12	UI	Base Station		
0x00015D7D	14	UI	Battle Station		
0x00015D8C	9	UI	Star Base		
0x00015D96	16	UI	Orbital Fortress		
0x00015DA7	11	UI	Alien Thief		
0x00015DB3	11	UI	Light Rogue		
0x00015DBF	11	UI	Heavy Rogue		
0x00015E03	8	UI	Gun Ship		
0x00015E15	12	UI	Laser Launch		
0x00015E3C	14	UI	Battle Cruiser		
0x00015E4B	8	UI	The Wind		
0x000164FC	11	UI	Ship Status		
0x00016508	10	UI	Dump Cargo		
0x00016513	11	UI	Ship Status		
0x00016530	14	UI	Automatic Fire		
0x0001653F	11	UI	Manual Fire		
0x0001654B	13	UI	Switch Target		
0x00016567	17	UI	Engage Auto-Pilot		
0x00016579	12	UI	View Starmap		
0x00016593	7	UI	Go Slow		
0x0001659B	7	UI	Go Fast		
0x000165A3	14	UI	Manual Control		
0x000165B2	10	UI	Never mind		
0x000165BD	9	UI	Heal crew		
0x000165C7	11	UI	Scan target		
0x000165DF	13	UI	Close Channel		
0x000165ED	12	UI	Pursuit Mode		
0x000165FA	14	UI	Cancel Pursuit		
0x00016609	9	UI	Pay Cargo		
0x00016613	10	UI	Load Cargo		
0x0001661E	9	UI	Beam Down		
0x00016628	10	UI	Touch Down		
0x00016633	11	UI	Enter Orbit		
0x0001663F	11	UI	Leave Orbit		
0x0001664B	17	UI	Where to captain?		
0x0001665D	16	UI	Destination sir?		
0x0001666E	22	UI	Head for which system?		
0x00016685	13	UI	Aye, captain?		
0x00016693	21	UI	Your command captain?		
0x000166A9	17	UI	What do you need?		
0x000166BB	17	UI	Request, captain?		
0x000166CD	29	UI	You wanted something captain?		
0x000166EB	25	UI	If I may be of service...		
0x000167D2	25	UI	Our payment was rejected.		
