idx	offset	len	original_en	translation_zh	notes
0	0x0200	5	space
1	0x0207	256	             Loki's Sun\r      Sabik Mining Corporation\r\rScans indicate a bilevel mining\rcolony in operation beneath the\rplanet's surface.  High\rconcentrations of iron and\rneutritium in the soil will make\rit impossible to teletrans from\rsubsurface levels.  	             洛基之陽\r      薩比克採礦集團\r\r掃描顯示行星地表下\r有雙層採礦殖民地運\r作。土壤中鐵與中性\r元素含量過高，無法\r從地下層跳躍傳送。
2	0x0309	188	          A Narrow Thread\r       Sector Communications\r\rSub-arctic temperatures indicated\ron the surface of this planet.\rThis station maintains a prime\rcommunications relay for the\rsector.	          一線之繫\r       星區通訊\r\r行星地表溫度近於亞\r極地。本站維繫整個\r星區的主通訊中繼。
3	0x03C7	285	          Cognito Ergo Sum\r      Ipremi Homeworld (Dead)\r\rThermal and infrared imaging\rindicates a massive complex of\rradioactive ruins. Low level\relectromagnetic interference seems\rto indicate automated machinery in\roperation. A good deal of trading\rtraffic apparently comes through. 	          我思故我在\r      伊普雷米母星(已亡)\r\r熱成像與紅外線顯示\r大片放射性廢墟群。\r低度電磁干擾顯示有\r自動化機械運作中。\r似乎有大量貿易船流\r經此處。
4	0x04E6	271	               Spawn\r         Rutilicus Colony.\r\rAn agricultural colony has been\restablished on the surface of this\rplanet. Settlement patterns\rindicate a central hub of communal\roffices surrounded by homes and\rfields. Cin-Sae Spawn overrun\rlarge portions of this planet.	               卵生族\r         盧提利庫斯殖民地\r\r行星地表已建立農業\r殖民地。聚落模式顯\r示中央為公共辦公樞\r紐，外圍環繞住宅與\r田地。辛賽卵生族占\r據此星大片區域。
5	0x05F7	261	        Of Universal Concern\r          Starport Kochab\r\rRecords indicate that this\rStarport was established by\rtraders dealing with exporters\rfrom Izar Sector.  Surface radio\rcommunications are largely\roccupied with information about an\rauction now in progress.	        關乎宇宙之事\r          柯卡布星港\r\r紀錄顯示此星港由與\r伊薩星區出口商往來\r的貿易商所建。地表\r無線電通訊大多被一\r場進行中的拍賣訊息\r所占據。
6	0x06FE	276	           From the Ruins\r           Detenu\r\rNo significant power radiations\rare detected on the surface of\rthis planet.  Comparison studies\rsuggest a culture closely\rapproximating that of a medieval\rearth.  Contact with this planet\rwas prohibited to the operators of\rthe ETS.	           廢墟之中\r           迪特努\r\r行星地表未偵測到顯\r著動力輻射。比對研\r究顯示其文化近似於\r地球中世紀。ETS 操\r作者被禁止接觸此星。
7	0x0814	313	          We, the Abducted\r          Mizarian Capital\r\rMizar VI is the seat of the now\rdefunct Mizarian Trading Empire\rwhich controlled nearby stars in\rthe Caroli sector.  Several\rbuildings in the downtown region\rreflect the incredible wealth once\rcontrolled by the Mizarians.  They\rare beaming welcome messages. 	          我等被擄之人\r          米薩里安首府\r\r米薩六號為已瓦解之\r米薩里安貿易帝國的\r首府，曾掌控卡羅利\r星區附近諸恆星。市\r中心數棟建築反映米\r薩里安人昔日驚人之\r財富。他們正發送歡\r迎訊息。
8	0x094F	277	          Circle of Light\r           Omega Complex\r\rAutomated by an entity known as\rOMEGA, this station has several\rslo-fireships docked in her\rlanding bays. Contact with OMEGA\ror any inhabitants on the planet\rwas strictly forbidden to the ETS.\rNo reason given in ship records.	          光之環\r           歐米茄綜合設施\r\r由名為歐米茄的實體\r自動掌控，本站數艘\r慢速火攻船停泊於登\r陸艙。ETS 被嚴禁接\r觸歐米茄或星上任何\r住民，船艦紀錄未述\r明原因。
9	0x0A66	247	           The Concierge\r              Melchior\r\rPeculiar gravity waves are\remanating from this planet, making\rscans of the planet difficult. A\rcluster of lifeforms located near\rthe disturbance may be\rresponsible.  No other information\ravailable. 	           守門人\r              梅爾基奧\r\r行星散發異樣重力波，\r掃描受阻。擾動源附\r近一簇生命形式可能\r是肇因。無其他資訊。
10	0x0B5F	280	           A Taste of Id\r        Vindemiatrix Colony.\r\rThis settlement is not entered on\rany list of existing colonies. \rConstruction seems to be underway\ron a number of new structures. A\rbuilding, located in the center of\rthe colony, is surrounded by an\rimpenetrable force-field.	           本我之味\r        芬德米特殖民地\r\r此聚落未列於任何現\r存殖民地清單。多棟\r新建築似乎正在施工。\r殖民地中央有一棟建\r築被無法穿透的力場\r環繞。
